name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Henry Ruggs III,Wide Receiver,Alabama,SEC,71.0,188.0,4.27,,42.0,131.0,,,21.0,3,1,1,1,0,0,0,,,,,,,,,81.0,40.0,7.0,746.0,18.7,2.0,75.0,1.0,75.0,37.5,57.0,46.0,11.0,741.0,16.1,,,,,,18.4,23.0,13.0,0.0,239.0,60.0,12.0,6.0,229.0,19.1,,,,,,23.8,40.0,12.0,0.0,286.0,,,,,,,,,,,,,,,,,,,,,5.8,16.0,8.0,0.0,46.0,,,,,,,,,,,2020,1.0,1.0,0.0,3.0,2.0,0.0,,,
Jerry Jeudy,Wide Receiver,Alabama,SEC,73.0,193.0,4.45,,35.0,120.0,,4.53,21.0,3,1,1,1,0,0,0,,,,,,,,,85.0,77.0,10.0,1163.0,15.1,1.0,1.0,0.0,1.0,1.0,81.0,68.0,14.0,1315.0,19.3,,,,,,,,,,,36.0,14.0,2.0,264.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2.0,1.0,0.0,,,,,,
CeeDee Lamb,Wide Receiver,Oklahoma,Big 12,74.0,198.0,4.5,11.0,34.5,124.0,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,12.8,66.0,17.0,0.0,218.0,71.0,62.0,14.0,1327.0,21.4,9.0,21.0,1.0,20.0,2.2,86.0,64.0,11.0,1155.0,18.0,,,,,,,,,,,82.0,46.0,7.0,807.0,17.5,,,,,,,,,,,,,,,,,,,,,7.2,46.0,25.0,0.0,179.0,,,,,,5.6,21.0,14.0,0.0,78.0,,,,,,,,,,,2020,1.0,1.0,0.0,,,,,,
Jalen Reagor,Wide Receiver,TCU,Big 12,71.0,206.0,4.47,17.0,42.0,138.0,7.31,4.46,21.0,3,1,1,1,0,0,0,6.0,3.0,0.0,12.1,58.0,8.0,0.0,97.0,55.0,43.0,5.0,611.0,14.2,14.0,29.0,0.0,89.0,6.4,67.0,71.0,9.0,1052.0,14.8,14.0,83.0,2.0,178.0,12.7,30.5,33.0,4.0,0.0,122.0,93.0,33.0,8.0,576.0,17.5,8.0,18.0,0.0,65.0,8.1,12.0,24.0,6.0,0.0,72.0,,,,,,,,,,,19.5,73.0,16.0,2.0,312.0,30.3,37.0,4.0,0.0,121.0,,,,,,,,,,,,,,,,2020,2.0,1.0,0.0,1.0,0.0,0.0,,,
Justin Jefferson,Wide Receiver,LSU,SEC,73.0,202.0,4.43,,37.5,126.0,,,21.0,3,1,1,1,0,0,0,,,,0.5,2.0,2.0,0.0,1.0,71.0,111.0,18.0,1540.0,13.9,,,,,,65.0,54.0,6.0,874.0,16.2,5.0,19.0,0.0,26.0,5.2,,,,,,,,,,,1.0,4.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,
Brandon Aiyuk,Wide Receiver,Arizona State,Pac-12,72.0,205.0,4.5,11.0,40.0,128.0,,,22.0,2,0,0,1,1,0,0,1.0,0.0,0.0,6.1,17.0,11.0,0.0,67.0,86.0,65.0,8.0,1192.0,18.3,1.0,6.0,0.0,6.0,6.0,58.0,33.0,3.0,474.0,14.4,,,,,,,,,,,,,,,,,,,,,31.9,97.0,14.0,0.0,446.0,,,,,,,,,,,16.1,63.0,14.0,1.0,226.0,22.4,37.0,14.0,0.0,314.0,,,,,,,,,,,,,,,,2020,4.0,0.0,0.0,,,,,,
Tee Higgins,Wide Receiver,Clemson,ACC,76.0,216.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,,,,,,65.0,59.0,13.0,1167.0,19.8,1.0,36.0,1.0,36.0,36.0,64.0,59.0,12.0,936.0,15.9,,,,,,3.0,3.0,1.0,0.0,3.0,78.0,17.0,2.0,345.0,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,
Michael Pittman Jr.,Wide Receiver,USC,Pac-12,76.0,223.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,4.0,77.0,101.0,11.0,1275.0,12.6,,,,,,65.0,40.0,6.0,743.0,18.6,2.0,11.0,0.0,20.0,10.0,,,,,,54.0,23.0,2.0,404.0,17.6,,,,,,,,,,,21.0,6.0,0.0,82.0,13.7,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,44.5,72.0,2.0,1.0,89.0,7.8,13.0,4.0,0.0,31.0,31.5,35.0,2.0,0.0,63.0,2020,1.0,1.0,0.0,,,,,,
Laviska Shenault Jr.,Wide Receiver,Colorado,Pac-12,73.0,227.0,4.58,17.0,,,,,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,,,,,,71.0,56.0,4.0,764.0,13.6,23.0,23.0,2.0,161.0,7.0,89.0,86.0,6.0,1011.0,11.8,17.0,49.0,5.0,115.0,6.8,,,,,,58.0,7.0,0.0,168.0,24.0,2.0,3.0,0.0,4.0,2.0,54.0,54.0,1.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,55.0,55.0,1.0,1.0,55.0,,,,,,,,,,,2020,1.0,1.0,0.0,,,,,,
KJ Hamler,Wide Receiver,Penn State,Big Ten,69.0,176.0,,15.0,,,,,21.0,2,0,1,1,0,0,0,3.0,0.0,0.0,6.9,33.0,14.0,0.0,96.0,58.0,56.0,8.0,904.0,16.1,13.0,16.0,0.0,43.0,3.3,93.0,43.0,5.0,755.0,17.6,4.0,32.0,1.0,44.0,11.0,,,,,,,,,,,,,,,,20.5,40.0,25.0,0.0,513.0,,,,,,,,,,,5.0,26.0,25.0,0.0,126.0,26.6,67.0,19.0,0.0,506.0,,,,,,,,,,,,,,,,2020,2.0,0.0,0.0,,,,,,
Chase Claypool,Wide Receiver,Notre Dame,FBS Independents,76.0,238.0,4.42,19.0,40.5,126.0,,,22.0,4,1,1,1,1,0,0,0.0,0.0,2.0,,,,,,47.0,66.0,13.0,1037.0,15.7,,,,,,35.0,50.0,4.0,639.0,12.8,,,,,,,,,,,44.0,29.0,2.0,402.0,13.9,2.0,0.0,0.0,-3.0,-1.5,,,,,,33.0,5.0,0.0,81.0,16.2,1.0,9.0,0.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,
Van Jefferson,Wide Receiver,Florida,SEC,74.0,200.0,,,,,,,24.0,4,0,0,1,1,1,1,0.0,0.0,1.0,5.7,9.0,3.0,0.0,17.0,69.0,49.0,6.0,657.0,13.4,1.0,7.0,0.0,7.0,7.0,41.0,35.0,6.0,503.0,14.4,,,,,,,,,,,40.0,42.0,1.0,456.0,10.9,,,,,,,,,,,44.0,49.0,3.0,543.0,11.1,5.0,23.0,0.0,40.0,8.0,,,,,,,,,,,,,,,,,,,,,2.8,6.0,4.0,0.0,11.0,2020,,,,,,,1.0,0.0,0.0
Denzel Mims,Wide Receiver,Baylor,Big 12,75.0,207.0,4.38,16.0,38.5,131.0,6.66,4.43,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,,,,,,46.0,66.0,12.0,1020.0,15.5,,,,,,55.0,55.0,8.0,794.0,14.4,,,,,,,,,,,71.0,61.0,8.0,1087.0,17.8,1.0,0.0,0.0,-6.0,-6.0,,,,,,10.0,4.0,0.0,24.0,6.0,,,,,,,,,,,,,,,,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,,2020,,,,,,,,,
Antonio Gibson,Wide Receiver,Memphis,American Athletic,72.0,228.0,4.39,16.0,35.0,118.0,,,22.0,2,0,0,1,1,0,0,1.0,0.0,0.0,,,,,,73.0,38.0,8.0,735.0,19.3,33.0,78.0,4.0,369.0,11.2,45.0,6.0,2.0,99.0,16.5,,,,,,,,,,,,,,,,,,,,,28.0,97.0,23.0,1.0,645.0,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,2020,1.0,0.0,0.0,,,,,,
Lynn Bowden Jr.,Wide Receiver,Kentucky,SEC,71.0,204.0,,,,,,,22.0,3,0,1,1,1,0,0,9.0,5.0,0.0,29.2,67.0,5.0,2.0,146.0,39.0,30.0,1.0,348.0,11.6,185.0,61.0,13.0,1468.0,7.9,54.0,67.0,5.0,745.0,11.1,9.0,12.0,0.0,25.0,2.8,23.5,93.0,37.0,0.0,869.0,35.0,17.0,0.0,210.0,12.4,12.0,9.0,0.0,37.0,3.1,24.4,37.0,9.0,0.0,220.0,,,,,,,,,,,13.3,29.0,4.0,0.0,53.0,22.1,56.0,25.0,0.0,553.0,,,,,,,,,,,,,,,,2020,4.0,2.0,0.0,1.0,0.0,0.0,,,
Bryan Edwards,Wide Receiver,South Carolina,SEC,75.0,212.0,,,,,,,21.0,4,1,1,1,0,0,0,,,,7.9,32.0,12.0,0.0,95.0,75.0,71.0,6.0,816.0,11.5,2.0,15.0,0.0,22.0,11.0,75.0,55.0,7.0,846.0,15.4,,,,,,,,,,,41.0,64.0,5.0,793.0,12.4,4.0,11.0,0.0,19.0,4.8,,,,,,42.0,44.0,4.0,590.0,13.4,,,,,,17.9,38.0,7.0,0.0,125.0,,,,,,,,,,,,,,,,,,,,,2020,2.0,1.0,0.0,,,,,,
Devin Duvernay,Wide Receiver,Texas,Big 12,71.0,200.0,4.39,,35.5,123.0,7.13,4.2,22.0,4,1,1,1,1,0,0,,,,,,,,,75.0,106.0,9.0,1386.0,13.1,10.0,13.0,1.0,24.0,2.4,48.0,41.0,4.0,546.0,13.3,1.0,10.0,0.0,10.0,10.0,22.0,34.0,4.0,0.0,88.0,42.0,9.0,0.0,124.0,13.8,,,,,,18.6,36.0,11.0,0.0,205.0,80.0,20.0,3.0,412.0,20.6,,,,,,,,,,,,,,,,,,,,,21.4,28.0,12.0,0.0,257.0,,,,,,2020,,,,,,,,,
Gabriel Davis,Wide Receiver,UCF,American Athletic,74.0,216.0,4.54,14.0,35.0,124.0,7.08,4.59,21.0,3,1,1,1,0,0,0,,,,,,,,,73.0,72.0,12.0,1241.0,17.2,,,,,,75.0,53.0,7.0,815.0,15.4,,,,,,,,,,,80.0,27.0,4.0,391.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1.0,0.0,0.0,,,,,,
Antonio Gandy-Golden,Wide Receiver,Liberty,FBS Independents,76.0,223.0,4.6,22.0,36.0,127.0,7.33,4.55,22.0,4,1,1,1,1,0,0,,,,,,,,,73.0,79.0,10.0,1396.0,17.7,,,,,,50.0,71.0,10.0,1037.0,14.6,,,,,,,,,,,40.0,13.0,2.0,192.0,14.8,,,,,,,,,,,47.0,1.0,0.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,
Joe Reed,Wide Receiver,Virginia,ACC,73.0,224.0,4.47,21.0,38.0,123.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,43.0,77.0,7.0,679.0,8.8,8.0,22.0,0.0,42.0,5.3,75.0,25.0,7.0,465.0,18.6,3.0,9.0,0.0,15.0,5.0,29.7,98.0,29.0,2.0,861.0,75.0,23.0,2.0,244.0,10.6,21.0,29.0,1.0,112.0,5.3,33.2,100.0,24.0,2.0,796.0,28.0,4.0,0.0,77.0,19.3,2.0,3.0,0.0,3.0,1.5,,,,,,27.2,90.0,26.0,1.0,707.0,,,,,,24.2,50.0,28.0,0.0,678.0,,,,,,2020,2.0,1.0,0.0,,,,1.0,0.0,0.0
Tyler Johnson,Wide Receiver,Minnesota,Big Ten,73.0,206.0,,,,,,,22.0,4,1,1,1,1,0,0,2.0,0.0,0.0,,,,,,73.0,86.0,13.0,1318.0,15.3,1.0,0.0,0.0,-1.0,-1.0,52.0,78.0,12.0,1169.0,15.0,,,,,,,,,,,67.0,35.0,7.0,677.0,19.3,,,,,,,,,,,34.0,14.0,1.0,141.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2.0,2.0,0.0,,,,,,
Collin Johnson,Wide Receiver,Texas,Big 12,78.0,222.0,,17.0,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,37.0,38.0,3.0,559.0,14.7,,,,,,45.0,68.0,7.0,988.0,14.5,,,,,,,,,,,48.0,54.0,2.0,765.0,14.2,0.0,0.0,0.0,-7.0,0.0,,,,,,40.0,28.0,3.0,315.0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1.0,0.0,0.0,,,,,,
Quintez Cephus,Wide Receiver,Wisconsin,Big Ten,73.0,202.0,4.73,23.0,38.5,124.0,7.2,4.33,22.0,4,1,1,1,1,0,0,,,,,,,,,52.0,59.0,7.0,901.0,15.3,,,,,,,,,,,,,,,,,,,,,61.0,30.0,6.0,501.0,16.7,4.0,4.0,0.0,5.0,1.3,,,,,,57.0,4.0,0.0,94.0,23.5,5.0,20.0,0.0,41.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,1.0,0.0,0.0,,,
John Hightower,Wide Receiver,Boise State,Mountain West,74.0,189.0,4.43,,38.5,122.0,7.07,4.21,24.0,2,0,0,0,0,1,1,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,76.0,51.0,8.0,943.0,18.5,15.0,35.0,0.0,139.0,9.3,67.0,31.0,6.0,504.0,16.3,8.0,88.0,2.0,163.0,20.4,,,,,,,,,,,,,,,,24.6,98.0,26.0,1.0,639.0,,,,,,,,,,,,,,,,10.1,26.0,10.0,0.0,101.0,,,,,,,,,,,,,,,,2020,1.0,1.0,0.0,,,,,,
Darnell Mooney,Wide Receiver,Tulane,American Athletic,70.0,176.0,4.38,9.0,37.0,124.0,,,22.0,4,1,1,1,1,0,0,,,,,,,,,48.0,48.0,5.0,713.0,14.9,,,,,,86.0,48.0,8.0,993.0,20.7,1.0,6.0,0.0,6.0,6.0,5.0,5.0,1.0,0.0,5.0,52.0,34.0,4.0,599.0,17.6,,,,,,,,,,,25.0,24.0,2.0,267.0,11.1,4.0,8.0,0.0,22.0,5.5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,2020,1.0,1.0,0.0,,,,1.0,1.0,0.0
K.J. Osborn,Wide Receiver,Miami,ACC,72.0,203.0,4.48,18.0,37.5,123.0,7.0,4.35,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,10.3,29.0,25.0,0.0,257.0,32.0,50.0,5.0,547.0,10.9,5.0,5.0,0.0,15.0,3.0,75.0,53.0,7.0,892.0,16.8,5.0,13.0,0.0,16.0,3.2,19.4,27.0,16.0,0.0,310.0,54.0,35.0,4.0,493.0,14.1,4.0,16.0,1.0,22.0,5.5,20.1,31.0,10.0,0.0,201.0,39.0,8.0,1.0,105.0,13.1,,,,,,15.9,52.0,16.0,0.0,255.0,19.3,23.0,7.0,0.0,135.0,10.3,39.0,8.0,0.0,82.0,,,,,,,,,,,2020,1.0,0.0,0.0,,,,,,
Donovan Peoples-Jones,Wide Receiver,Michigan,Big Ten,74.0,212.0,4.48,,44.5,139.0,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,10.0,60.0,25.0,1.0,250.0,41.0,34.0,6.0,438.0,12.9,2.0,2.0,0.0,-7.0,-3.5,79.0,45.0,8.0,581.0,12.9,3.0,25.0,0.0,37.0,12.3,,,,,,48.0,22.0,0.0,277.0,12.6,4.0,44.0,0.0,57.0,14.3,,,,,,,,,,,,,,,,7.2,50.0,24.0,0.0,173.0,,,,,,7.8,79.0,41.0,1.0,320.0,,,,,,,,,,,2020,1.0,0.0,0.0,2.0,1.0,0.0,,,
Quez Watkins,Wide Receiver,Southern Miss,Conference USA,72.0,185.0,4.35,,36.5,125.0,7.28,4.36,22.0,3,0,1,1,1,0,0,3.0,2.0,0.0,9.9,81.0,14.0,1.0,138.0,77.0,64.0,6.0,1178.0,18.4,1.0,1.0,0.0,1.0,1.0,57.0,73.0,9.0,896.0,12.3,4.0,8.0,0.0,11.0,2.8,21.5,32.0,11.0,0.0,236.0,48.0,23.0,2.0,337.0,14.7,,,,,,21.5,46.0,4.0,0.0,86.0,,,,,,,,,,,7.3,12.0,3.0,0.0,22.0,14.3,19.0,3.0,0.0,43.0,9.0,24.0,2.0,0.0,18.0,,,,,,,,,,,2020,1.0,0.0,0.0,,,,,,
James Proche,Wide Receiver,SMU,American Athletic,71.0,201.0,,20.0,34.5,,7.27,4.4,23.0,4,0,1,1,1,1,0,2.0,0.0,0.0,8.3,31.0,20.0,0.0,165.0,52.0,111.0,15.0,1225.0,11.0,4.0,12.0,0.0,18.0,4.5,67.0,93.0,12.0,1199.0,12.9,2.0,13.0,0.0,17.0,8.5,16.7,20.0,3.0,0.0,50.0,86.0,40.0,6.0,816.0,20.4,,,,,,16.0,16.0,1.0,0.0,16.0,54.0,57.0,6.0,709.0,12.4,4.0,8.0,0.0,15.0,3.8,9.6,20.0,17.0,0.0,164.0,23.0,37.0,12.0,0.0,276.0,6.0,6.0,1.0,0.0,6.0,18.2,30.0,15.0,0.0,273.0,3.6,13.0,13.0,0.0,47.0,2020,4.0,1.0,0.0,,,,2.0,0.0,0.0
Isaiah Hodgins,Wide Receiver,Oregon State,Pac-12,76.0,210.0,4.61,9.0,36.5,124.0,7.01,4.12,21.0,3,1,1,1,0,0,0,,,,,,,,,42.0,86.0,13.0,1171.0,13.6,,,,,,51.0,59.0,5.0,876.0,14.8,,,,,,,,,,,21.0,31.0,2.0,275.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,1.0,0.0,0.0,,,
Dezmon Patmon,Wide Receiver,Washington State,Pac-12,76.0,225.0,4.48,15.0,36.0,132.0,7.28,4.38,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,48.0,58.0,8.0,762.0,13.1,,,,,,65.0,61.0,5.0,816.0,13.4,,,,,,,,,,,30.0,35.0,0.0,379.0,10.8,,,,,,,,,,,19.0,2.0,0.0,19.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,
Freddie Swain,Wide Receiver,Florida,SEC,72.0,197.0,4.46,16.0,36.5,124.0,7.05,4.26,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,9.7,85.0,23.0,1.0,224.0,64.0,38.0,7.0,517.0,13.6,4.0,10.0,0.0,27.0,6.8,65.0,15.0,5.0,271.0,18.1,,,,,,,,,,,33.0,8.0,1.0,96.0,12.0,,,,,,13.0,23.0,3.0,0.0,39.0,26.0,8.0,2.0,118.0,14.8,,,,,,4.0,10.0,14.0,0.0,56.0,6.0,6.0,1.0,0.0,6.0,13.5,17.0,2.0,0.0,27.0,11.0,11.0,1.0,0.0,11.0,1.0,1.0,1.0,0.0,1.0,2020,,,,,,,,,
Jauan Jennings,Wide Receiver,Tennessee,SEC,75.0,215.0,4.72,,29.0,119.0,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,,,,,,51.0,59.0,8.0,969.0,16.4,13.0,22.0,1.0,51.0,3.9,43.0,30.0,3.0,438.0,14.6,,,,,,,,,,,7.0,3.0,0.0,17.0,5.7,,,,,,,,,,,67.0,40.0,7.0,580.0,14.5,5.0,9.0,0.0,27.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1.0,0.0,0.0,,,,,,
K.J. Hill,Wide Receiver,Ohio State,Big Ten,72.0,196.0,4.6,17.0,32.5,114.0,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,5.4,23.0,14.0,0.0,76.0,53.0,57.0,10.0,636.0,11.2,1.0,1.0,0.0,1.0,1.0,42.0,70.0,6.0,885.0,12.6,1.0,0.0,0.0,-3.0,-3.0,25.0,32.0,6.0,0.0,150.0,29.0,56.0,3.0,549.0,9.8,2.0,1.0,0.0,1.0,0.5,0.0,0.0,2.0,0.0,0.0,47.0,18.0,1.0,262.0,14.6,,,,,,7.6,16.0,5.0,0.0,38.0,4.0,4.0,1.0,0.0,4.0,5.1,22.0,28.0,0.0,144.0,6.0,6.0,1.0,0.0,6.0,,,,,,2020,2.0,1.0,0.0,2.0,1.0,0.0,,,
Malcolm Perry,Wide Receiver,Navy,American Athletic,69.0,186.0,4.63,10.0,36.0,122.0,7.12,4.31,23.0,4,0,1,1,1,1,0,7.0,5.0,0.0,,,,,,,,,,,295.0,70.0,21.0,2017.0,6.8,73.0,9.0,1.0,167.0,18.6,172.0,75.0,7.0,1087.0,6.3,24.5,58.0,13.0,0.0,318.0,75.0,13.0,2.0,303.0,23.3,138.0,92.0,11.0,1182.0,8.6,,,,,,,,,,,9.0,30.0,1.0,73.0,8.1,,,,,,24.7,33.0,7.0,0.0,173.0,,,,,,,,,,,,,,,,2020,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Tyrie Cleveland,Wide Receiver,Florida,SEC,74.0,209.0,4.46,13.0,39.5,126.0,,,22.0,4,1,1,1,1,0,0,,,,0.0,0.0,0.0,1.0,0.0,36.0,25.0,1.0,351.0,14.0,,,,,,38.0,18.0,3.0,212.0,11.8,,,,,,23.6,46.0,5.0,0.0,118.0,63.0,22.0,2.0,410.0,18.6,2.0,4.0,0.0,6.0,3.0,20.7,40.0,6.0,0.0,124.0,98.0,14.0,2.0,298.0,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,1.0,1.0,0.0,,,
Ja'Marr Chase,Wide Receiver,LSU,SEC,72.0,201.0,4.34,,41.0,132.0,6.96,3.99,21.0,3,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,78.0,84.0,20.0,1780.0,21.2,1.0,5.0,0.0,5.0,5.0,,,,,,45.0,23.0,3.0,313.0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,1.0,1.0,0.0,,,,,,
Jaylen Waddle,Wide Receiver,Alabama,SEC,70.0,180.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,24.4,77.0,20.0,1.0,487.0,90.0,28.0,4.0,591.0,21.1,3.0,11.0,0.0,12.0,4.0,58.0,33.0,6.0,560.0,17.0,1.0,5.0,0.0,5.0,5.0,,,,,,94.0,45.0,7.0,848.0,18.8,,,,,,9.8,22.0,4.0,0.0,39.0,,,,,,,,,,,6.5,11.0,2.0,0.0,13.0,35.0,98.0,5.0,1.0,175.0,12.9,63.0,18.0,1.0,233.0,,,,,,,,,,,2021,1.0,1.0,0.0,3.0,0.0,0.0,,,
DeVonta Smith,Wide Receiver,Alabama,SEC,72.0,170.0,,,,,,,22.0,4,1,1,1,1,0,0,0.0,0.0,1.0,,,,,,66.0,117.0,23.0,1856.0,15.9,4.0,14.0,1.0,6.0,1.5,85.0,68.0,14.0,1256.0,18.5,,,,,,,,,,,57.0,42.0,6.0,693.0,16.5,,,,,,13.0,22.0,4.0,0.0,52.0,41.0,8.0,3.0,160.0,20.0,,,,,,21.5,84.0,11.0,1.0,237.0,,,,,,,,,,,,,,,,,,,,,2021,1.0,0.0,0.0,1.0,0.0,0.0,,,
Kadarius Toney,Wide Receiver,Florida,SEC,72.0,193.0,4.39,9.0,39.5,136.0,6.88,4.25,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,12.0,12.0,1.0,0.0,12.0,57.0,70.0,10.0,984.0,14.1,19.0,50.0,1.0,161.0,8.5,66.0,10.0,1.0,194.0,19.4,12.0,26.0,0.0,59.0,4.9,22.2,51.0,6.0,0.0,133.0,45.0,25.0,1.0,260.0,10.4,21.0,34.0,0.0,240.0,11.4,22.1,37.0,7.0,0.0,155.0,23.0,15.0,0.0,152.0,10.1,14.0,36.0,1.0,120.0,8.6,12.6,50.0,11.0,1.0,139.0,21.0,21.0,1.0,0.0,21.0,-4.0,0.0,1.0,0.0,-4.0,15.0,15.0,1.0,0.0,15.0,,,,,,2021,,,,1.0,1.0,0.0,,,
Rashod Bateman,Wide Receiver,Minnesota,Big Ten,72.0,190.0,4.39,,36.0,123.0,,,21.0,3,1,1,1,0,0,0,,,,,,,,,39.0,36.0,2.0,472.0,13.1,,,,,,66.0,60.0,11.0,1219.0,20.3,,,,,,,,,,,86.0,51.0,6.0,704.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
Elijah Moore,Wide Receiver,Ole Miss,SEC,70.0,178.0,4.35,17.0,36.0,121.0,6.63,4.07,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,6.1,55.0,14.0,0.0,86.0,91.0,86.0,8.0,1193.0,13.9,14.0,13.0,0.0,64.0,4.6,55.0,67.0,6.0,850.0,12.7,4.0,3.0,0.0,-1.0,-0.3,18.5,28.0,12.0,0.0,222.0,50.0,36.0,2.0,398.0,11.1,3.0,6.0,0.0,8.0,2.7,,,,,,,,,,,,,,,,3.7,10.0,3.0,0.0,11.0,,,,,,3.4,15.0,10.0,0.0,34.0,,,,,,,,,,,2021,1.0,0.0,0.0,,,,,,
